studyid,snapshot_date
AA-AA-000-0000,12/1/2003
AA-AA-000-0000,3/1/2004
AA-AA-000-0000,6/1/2004
AA-AA-000-0000,9/1/2004
AA-AA-000-0000,12/1/2004
AA-AA-000-0000,3/1/2005
AA-AA-000-0000,6/1/2005
AA-AA-000-0000,9/1/2005
AA-AA-000-0000,12/1/2005
AA-AA-000-0000,3/1/2006
AA-AA-000-0000,6/1/2006
AA-AA-000-0000,9/1/2006
AA-AA-000-0000,12/1/2006
AA-AA-000-0000,3/1/2007
AA-AA-000-0000,6/1/2007
AA-AA-000-0000,9/1/2007
AA-AA-000-0000,12/1/2007
AA-AA-000-0000,3/1/2008
AA-AA-000-0000,6/1/2008
AA-AA-000-0000,9/1/2008
AA-AA-000-0000,12/1/2008
AA-AA-000-0000,3/1/2009
AA-AA-000-0000,6/1/2009
AA-AA-000-0000,9/1/2009
AA-AA-000-0000,12/1/2009
AA-AA-000-0000,3/1/2010
AA-AA-000-0000,6/1/2010
AA-AA-000-0000,9/1/2010
AA-AA-000-0000,12/1/2010
AA-AA-000-0000,3/1/2011
AA-AA-000-0000,6/1/2011
AA-AA-000-0000,9/1/2011
AA-AA-000-0000,12/1/2011
AA-AA-000-0000,3/1/2012
AA-AA-000-0000,6/1/2012
AA-AA-000-0000,9/1/2012
AA-AA-000-0000,12/1/2012
AA-AA-000-0000,3/1/2013
AA-AA-000-0000,6/1/2013
AA-AA-000-0000,9/1/2013
AA-AA-000-0000,12/1/2013
AA-AA-000-0000,3/1/2014
AA-AA-000-0000,6/1/2014
AA-AA-000-0000,9/1/2014
AA-AA-000-0000,12/1/2014
AA-AA-000-0000,3/1/2015
AA-AA-000-0000,6/1/2015
AA-AA-000-0000,9/1/2015
AA-AA-000-0000,12/1/2015
AA-AA-000-0000,3/1/2016
AA-AA-000-0000,6/1/2016
AA-AA-000-0000,9/1/2016
AA-AA-000-0000,12/1/2016
AA-AA-000-0000,3/1/2017
AA-AA-000-0000,6/1/2017
AA-AA-000-0000,9/1/2017
AA-AA-000-0000,12/1/2017
AA-AA-000-0000,3/1/2018
AA-AA-000-0000,6/1/2018
AA-AA-000-0000,9/1/2018
AA-AA-000-0000,12/1/2018
AA-AA-000-0000,3/1/2019
AA-AA-000-0000,6/1/2019
AA-AA-000-0000,9/1/2019
AA-AA-000-0000,12/1/2019
AA-AA-000-0000,3/1/2020
AA-AA-000-0000,6/1/2020
AA-AA-000-0000,9/1/2020
AA-AA-000-0000,12/1/2020
AA-AA-000-0000,3/1/2021
AA-AA-000-0000,6/1/2021
AA-AA-000-0000,9/1/2021
AA-AA-000-0000,12/1/2021
AA-AA-000-0000,3/1/2022
AA-AA-000-0000,6/1/2022
